Clap, Swipe Down With Left, Swipe Down With Right, Swipe To Left, Swipe To Right, Swipe Up With Left, Swipe Up With Right, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424496791641444, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424334219485876, Infinity, 0.436938680284127, Infinity, 0.246375630810045, Infinity, Infinity, 
0.313598821799361, 0.484828701537619, 0.420069498750198, 0.224260169066812, 0.26890871512787, 0.324489473457881, 0.258654802984146, 
0.310120307391417, 0.486431366355902, 0.416625772815192, 0.211557687880418, 0.271778207175341, 0.327365981836533, 0.257304214178815, 
0.308541161882537, 0.487992839105625, 0.414293006824449, 0.20407886179692, 0.27454252479693, 0.330187198328341, 0.256727283111242, 
0.308450031605837, 0.489922959586074, 0.412272571339411, 0.200197435364736, 0.277594671195476, 0.333221415669515, 0.256910669125887, 
0.308587804261547, 0.49171503813893, 0.410366842141575, 0.198145444852921, 0.280430881802724, 0.336113731234197, 0.257045829139331, 
0.309135303997319, 0.493756291504745, 0.408337501213793, 0.197087574079004, 0.283510479200937, 0.339135395939806, 0.257474883221253, 
0.30986060269748, 0.495611645595435, 0.406172945382552, 0.196400843950826, 0.286298735571545, 0.34198520836424, 0.257954090979444, 
0.310615835773618, 0.497726021149806, 0.404131613268221, 0.195892721511909, 0.289289663397844, 0.344839361481385, 0.258459175065234, 
0.311296939059045, 0.499591839133572, 0.402114002786392, 0.195544619217498, 0.291906513554559, 0.347561251299428, 0.258803046870936, 
0.312175294663776, 0.501623338313967, 0.400153865236822, 0.195386688384736, 0.294625710435081, 0.350102547980019, 0.25956272769284, 
0.313021640341942, 0.503537359261635, 0.398310383891384, 0.195311681270546, 0.297171873088757, 0.352663706705999, 0.260145094443696, 
0.314274844959716, 0.505534529560149, 0.395795769995567, 0.195352956817154, 0.299803458717771, 0.355031648814549, 0.26100847497273, 
0.315557378038155, 0.507067950835334, 0.392286010512652, 0.195592106160314, 0.301943461196504, 0.357066061351567, 0.261780508342707, 
0.317208095558225, 0.508501598479011, 0.387716865585425, 0.196027926040395, 0.304017594748875, 0.358851940382054, 0.262774044898148, 
0.319751105158273, 0.509498962436386, 0.382070458132313, 0.196707080664187, 0.305543846448999, 0.360249018193497, 0.264513471763168, 
0.322762624149625, 0.510140848504511, 0.373677898631733, 0.197909855438466, 0.306331358542082, 0.360807439112314, 0.266297021660127, 
0.326976029837702, 0.510534114289231, 0.363936727183165, 0.200170079255344, 0.306241214796337, 0.36053922186437, 0.268446596365164, 
0.331925184392785, 0.511180689042018, 0.355229101592584, 0.202653037693938, 0.305979650561185, 0.359467824416288, 0.27154916562153, 
0.337159491605835, 0.511703118743132, 0.349302579546241, 0.205526867705799, 0.305824271590325, 0.357689925284478, 0.274520765867447, 
0.343150339265414, 0.51258496245334, 0.34641457857838, 0.208397824585896, 0.305771053876611, 0.355591929002357, 0.27805607278887, 
0.349215226174976, 0.513288137674136, 0.345017215247715, 0.211585508860802, 0.305791344865506, 0.353641840561111, 0.281581411143527, 
